sample,date,time,ID,neo_nmol_SG,datetime1,group,sex,age,max_t,min_t,rain,mean_max_t_days15
66,8/24/21,11:33:00,MIS,558.7492402,2021-08-24T11:33:00Z,Mesas,F,2.3,26.07104167,25.54354167,0.164583333,26.66460286
67,8/24/21,13:25:00,MAN,709.3149207,2021-08-24T13:25:00Z,Mesas,M,5.6,26.07104167,25.54354167,0.164583333,26.66460286
68,9/22/21,12:22:00,MOZ,484.0107528,2021-09-22T12:22:00Z,Mesas,M,11.7,27.96833333,27.47479167,0.00625,26.81895833
70,10/21/21,11:30:00,TUA,1022.513045,2021-10-21T11:30:00Z,Tenori,M,0.6,27.31739583,26.7871875,0.004166667,26.80275391
71,10/21/21,14:10:00,TAN,2662.754059,2021-10-21T14:10:00Z,Tenori,F,4.8,27.31739583,26.7871875,0.004166667,26.80275391
73,10/22/21,10:26:00,TRU,630.1173728,2021-10-22T10:26:00Z,Tenori,F,14.8,27.07770833,26.595625,0.002083333,26.79886068
75,10/27/21,11:00:00,MOZ,577.4494978,2021-10-27T11:00:00Z,Mesas,M,11.8,27.25260417,26.7315625,0.002083333,26.86626302
77,10/28/21,8:05:00,MIS,1263.848322,2021-10-28T08:05:00Z,Mesas,F,2.5,27.5465625,27.010625,0,26.88710938
79,11/3/21,14:50:00,PED,1228.615953,2021-11-03T14:50:00Z,Tenori,M,11.4,25.81979167,25.29072917,0.127083333,26.85784505
82,11/5/21,10:24:00,PED,421.6140185,2021-11-05T10:24:00Z,Tenori,M,11.4,26.85229167,26.34020833,0.00625,26.84067708
87,11/8/21,10:22:00,THO,678.1685925,2021-11-08T10:22:00Z,Tenori,M,1.9,27.79635417,27.30479167,0,26.92212891
88,11/8/21,10:34:00,PED,244.1171566,2021-11-08T10:34:00Z,Tenori,M,11.4,27.79635417,27.30479167,0,26.92212891
91,11/10/21,13:29:00,TER,723.0627255,2021-11-10T13:29:00Z,Tenori,F,5.8,26.661875,26.08989583,0,26.8701888
95,11/10/21,8:02:00,TRU,725.4254485,2021-11-10T08:02:00Z,Tenori,F,14.9,26.661875,26.08989583,0,26.8701888
96,11/11/21,9:54:00,PED,456.590426,2021-11-11T09:54:00Z,Tenori,M,11.4,27.1109375,26.4865625,0,26.85533203
97,11/11/21,11:53:00,TAM,431.9729373,2021-11-11T11:53:00Z,Tenori,F,7.8,27.1109375,26.4865625,0,26.85533203
98,11/11/21,12:07:00,TOT,534.4543922,2021-11-11T12:07:00Z,Tenori,F,7.8,27.1109375,26.4865625,0,26.85533203
103,11/12/21,6:12:00,TET,1697.838839,2021-11-12T06:12:00Z,Tenori,F,33.9,27.6384375,27.10302083,0,26.87944661
104,11/12/21,7:55:00,TIN,4580.569358,2021-11-12T07:55:00Z,Tenori,M,2.1,27.6384375,27.10302083,0,26.87944661
105,11/12/21,8:50:00,PED,225.6226722,2021-11-12T08:50:00Z,Tenori,M,11.4,27.6384375,27.10302083,0,26.87944661
109,11/13/21,7:55:00,TAB,889.0365697,2021-11-13T07:55:00Z,Tenori,F,4.9,27.74885417,27.220625,0,26.89208984
111,11/13/21,11:31:00,TAM,326.5503905,2021-11-13T11:31:00Z,Tenori,F,7.9,27.74885417,27.220625,0,26.89208984
116,11/15/21,6:22:00,TUA,3880.98098,2021-11-15T06:22:00Z,Tenori,M,0.7,27.29552083,26.8040625,0,27.01877604
117,11/15/21,6:48:00,TIN,2453.360216,2021-11-15T06:48:00Z,Tenori,M,2.1,27.29552083,26.8040625,0,27.01877604
120,11/15/21,13:58:00,TAM,357.5934911,2021-11-15T13:58:00Z,Tenori,F,7.9,27.29552083,26.8040625,0,27.01877604
124,11/17/21,15:29:00,PED,311.7462414,2021-11-17T15:29:00Z,Tenori,M,11.4,27.0284375,26.46760417,0,27.11908203
133,11/18/21,9:55:00,THO,237.4571347,2021-11-18T09:55:00Z,Tenori,M,2,27.15395833,26.56375,0,27.14721354
134,11/18/21,10:01:00,TEN,819.6248133,2021-11-18T10:01:00Z,Tenori,M,4.4,27.15395833,26.56375,0,27.14721354
135,11/18/21,10:10:00,TER,535.3513335,2021-11-18T10:10:00Z,Tenori,F,5.9,27.15395833,26.56375,0,27.14721354
136,11/18/21,14:16:00,TIN,1547.447962,2021-11-18T14:16:00Z,Tenori,M,2.1,27.15395833,26.56375,0,27.14721354
137,11/19/21,8:52:00,PUC,1726.611941,2021-11-19T08:52:00Z,Palmas,M,4.4,26.95895833,26.34791667,0,27.21841146
138,11/19/21,9:36:00,TIN,1543.513319,2021-11-19T09:36:00Z,Tenori,M,2.1,26.95895833,26.34791667,0,27.21841146
139,11/19/21,10:40:00,TAM,531.9270397,2021-11-19T10:40:00Z,Tenori,F,7.9,26.95895833,26.34791667,0,27.21841146
140,11/19/21,12:20:00,PED,321.206785,2021-11-19T12:20:00Z,Tenori,M,11.4,26.95895833,26.34791667,0,27.21841146
141,11/19/21,13:10:00,TET,2068.77245,2021-11-19T13:10:00Z,Tenori,F,33.9,26.95895833,26.34791667,0,27.21841146
142,11/22/21,13:29:00,PAL,1024.599456,2021-11-22T13:29:00Z,Palmas,M,24.4,27.1140625,26.59260417,0,27.3209375
143,11/22/21,12:55:00,PAL,882.6160189,2021-11-22T12:55:00Z,Palmas,M,24.4,27.1140625,26.59260417,0,27.3209375
144,11/22/21,13:10:00,THO,481.2626659,2021-11-22T13:10:00Z,Tenori,M,2,27.1140625,26.59260417,0,27.3209375
145,11/22/21,14:22:00,PUC,736.8307988,2021-11-22T14:22:00Z,Palmas,M,4.4,27.1140625,26.59260417,0,27.3209375
146,11/22/21,15:19:00,PED,394.5573657,2021-11-22T15:19:00Z,Tenori,M,11.4,27.1140625,26.59260417,0,27.3209375
149,11/22/21,16:25:00,TEN,365.2938502,2021-11-22T16:25:00Z,Tenori,M,4.4,27.1140625,26.59260417,0,27.3209375
150,11/29/21,15:52:00,TIN,740.0882294,2021-11-29T15:52:00Z,Tenori,M,2.2,26.26052083,25.72270833,0,27.29281901
151,11/29/21,16:22:00,PAL,1709.673302,2021-11-29T16:22:00Z,Palmas,M,24.4,26.26052083,25.72270833,0,27.29281901
155,11/30/21,10:08:00,TAN,1064.499361,2021-11-30T10:08:00Z,Tenori,F,4.9,26.9784375,26.46552083,0,27.23315104
158,12/13/21,15:23:00,PED,294.1451134,2021-12-13T15:23:00Z,Tenori,M,11.5,27.87479167,27.30125,0,27.91466146
159,1/17/22,16:20:00,TES,1053.457878,2022-01-17T16:20:00Z,Tenori,F,18,28.9965625,28.49572917,0,28.36505208
