"date","max_t","min_t","rain"
2020-10-01,23.78,23.54,0
2020-10-01,23.83,23.41,0
2020-10-01,23.73,23.36,0
2020-10-01,23.6,23.26,0
2020-10-01,23.5,23.22,0
2020-10-01,23.65,23.31,0
2020-10-01,23.65,23.4,0
2020-10-01,23.65,23.4,0
2020-10-01,23.69,23.4,0
2020-10-01,23.69,23.36,0
2020-10-01,23.65,23.31,0
2020-10-01,23.59,23.31,0
2020-10-01,23.64,23.31,0
2020-10-01,23.74,23.4,0
2020-10-01,23.78,23.49,0
2020-10-01,23.87,23.54,0
2020-10-01,23.88,23.54,0
2020-10-01,23.91,23.54,0
2020-10-01,23.96,23.67,0
2020-10-01,23.96,23.63,0.4
2020-10-01,24.01,23.72,0
2020-10-01,24.01,23.72,0.2
2020-10-01,24.05,23.76,0.8
2020-10-01,24.14,23.77,0.6
2020-10-01,24.1,23.81,0.8
2020-10-01,24.19,23.81,1
2020-10-01,24.19,23.9,1.4
2020-10-01,24.19,23.77,1
2020-10-01,24.14,23.81,0.2
2020-10-01,24.47,23.86,0.2
2020-10-01,24.64,24.27,0.6
2020-10-01,24.91,24.36,0.4
2020-10-01,25.14,24.54,0
2020-10-01,25.55,24.81,0
2020-10-01,26.96,25.45,0
2020-10-01,32.22,26.83,0
2020-10-01,32.9,32.02,0
2020-10-01,32.21,31.6,0
2020-10-01,32.25,31.61,0
2020-10-01,32.49,31.51,0
2020-10-01,31.99,31.43,0
2020-10-01,32.36,31.42,0
2020-10-01,32.24,31.42,0
2020-10-01,32.63,31.47,0
2020-10-01,32.27,31.43,0
2020-10-01,31.74,31.15,0
2020-10-01,31.72,31.21,0
2020-10-01,31.53,30.83,0
2020-10-01,31.22,30.46,0
2020-10-01,31.12,30.6,0
2020-10-01,31.27,30.66,0
2020-10-01,31.08,29.97,0
2020-10-01,30.31,29.96,0
2020-10-01,30.21,29.37,0
2020-10-01,30.17,29.38,0
2020-10-01,29.67,28.78,0.2
2020-10-01,29.25,28.65,0
2020-10-01,29.02,28.18,0
2020-10-01,28.69,27.64,0
2020-10-01,28.43,27.6,0
2020-10-01,27.88,26.97,0
2020-10-01,27.11,26.78,0
2020-10-01,26.96,26.14,0
2020-10-01,26.3,25.22,0
2020-10-01,25.43,24.69,0
2020-10-01,24.88,24.13,0
2020-10-01,24.6,24.09,0
2020-10-01,24.37,23.91,0
2020-10-01,24.33,23.68,0
2020-10-01,23.92,23.59,0
2020-10-01,23.78,23.14,0
2020-10-01,23.36,22.77,0
2020-10-01,23.09,22.77,0
2020-10-01,23.1,22.72,0
2020-10-01,23.05,22.72,0
2020-10-01,23.1,22.77,0
2020-10-01,23.09,22.76,0
2020-10-01,23,22.72,0
2020-10-01,23.04,22.72,0
2020-10-01,23.18,22.81,0
2020-10-01,23.36,22.95,0
2020-10-01,23.54,23.13,0
2020-10-01,23.64,23.31,0
2020-10-01,23.64,23.4,0
2020-10-01,23.74,23.4,0
2020-10-01,23.77,23.45,0
2020-10-01,23.73,23.27,0
2020-10-01,23.5,23.13,0
2020-10-01,23.5,23.08,0
2020-10-01,23.37,23.08,0
2020-10-01,23.27,22.86,0
2020-10-01,23.14,22.85,0
2020-10-01,23.19,22.9,0
2020-10-01,23.28,22.95,0
